id,transaction_id,service_id,quantity,price,subtotal,created_at,updated_at
1,1,1,2.00,6000.00,12000.00,"2026-04-02 09:42:21","2026-04-02 09:42:21"
2,2,3,1.00,25000.00,25000.00,"2026-04-02 09:42:21","2026-04-02 09:42:21"
3,3,1,1.30,6000.00,7800.00,"2026-04-09 14:29:07","2026-04-09 14:29:07"
4,4,1,1.30,6000.00,7800.00,"2026-04-09 14:29:08","2026-04-09 14:29:08"
5,5,2,0.50,10000.00,5000.00,"2026-04-10 02:53:37","2026-04-10 02:53:37"
6,5,3,0.10,25000.00,2500.00,"2026-04-10 02:53:37","2026-04-10 02:53:37"
7,6,2,0.40,10000.00,4000.00,"2026-04-17 02:30:17","2026-04-17 02:30:17"
8,6,2,1.90,10000.00,19000.00,"2026-04-17 02:30:17","2026-04-17 02:30:17"
9,7,1,2.50,6000.00,15000.00,"2026-04-19 14:40:27","2026-04-19 14:40:27"
10,7,2,1.00,10000.00,10000.00,"2026-04-19 14:40:27","2026-04-19 14:40:27"
11,8,1,3.00,6000.00,18000.00,"2026-04-22 15:29:30","2026-04-22 15:29:30"
12,8,3,6.00,25000.00,150000.00,"2026-04-22 15:29:30","2026-04-22 15:29:30"
13,9,5,0.50,8000.00,4000.00,"2026-04-25 18:50:33","2026-04-25 18:50:33"
14,9,8,1.00,10000.00,10000.00,"2026-04-25 18:50:33","2026-04-25 18:50:33"
15,9,4,1.00,35000.00,35000.00,"2026-04-25 18:50:33","2026-04-25 18:50:33"
16,9,11,0.50,4000.00,2000.00,"2026-04-25 18:50:33","2026-04-25 18:50:33"
17,9,13,0.50,6500.00,3250.00,"2026-04-25 18:50:33","2026-04-25 18:50:33"
18,10,5,0.50,8000.00,4000.00,"2026-04-26 15:32:32","2026-04-26 15:32:32"
19,11,2,0.50,10000.00,5000.00,"2026-04-26 15:49:02","2026-04-26 15:49:02"
20,12,5,0.50,8000.00,4000.00,"2026-04-26 16:20:45","2026-04-26 16:20:45"
21,13,5,0.50,8000.00,4000.00,"2026-05-01 14:34:34","2026-05-01 14:34:34"
22,14,1,2.00,6000.00,12000.00,"2026-05-01 15:06:53","2026-05-01 15:06:53"
23,15,5,0.50,8000.00,4000.00,"2026-05-01 15:14:07","2026-05-01 15:14:07"
24,16,8,1.00,10000.00,10000.00,"2026-05-01 15:23:31","2026-05-01 15:23:31"
25,17,4,1.00,35000.00,35000.00,"2026-05-02 03:32:06","2026-05-02 03:32:06"
26,18,1,0.50,6000.00,3000.00,"2026-05-02 03:37:26","2026-05-02 03:37:26"
27,19,8,1.00,10000.00,10000.00,"2026-05-02 03:49:18","2026-05-02 03:49:18"
28,20,3,1.00,25000.00,25000.00,"2026-05-02 03:51:13","2026-05-02 03:51:13"
29,21,5,0.50,8000.00,4000.00,"2026-05-02 14:50:25","2026-05-02 14:50:25"
30,21,2,0.50,10000.00,5000.00,"2026-05-02 14:50:25","2026-05-02 14:50:25"
31,22,10,1.00,30000.00,30000.00,"2026-05-02 14:54:37","2026-05-02 14:54:37"
